SN,Easting,Northing,Elevation,Remarks
1,634413.7394,3064905.402,1333.46427,ARP03
2,634027.2585,3065117.858,1333.27477,ARP01
3,634483.1774,3065239.617,1335.0389,ARP02
4,634785.476,3066440.749,1336.18294,ACP4
5,635176.7043,3066022.488,1322.837,HAN01
6,634921.6643,3064970.699,1311.588,HAN02
7,633494.1549,3062986.706,1309.104,YC20
8,633386.5897,3063734.849,1297.752,JZ001
9,634338.6971,3066570.499,1333.006,AVIC2
10,633979.0765,3066303.77,1320.208,AVIC3
